Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
01/Apr/19 12:31:47.133,Sturing Links,,01/Apr/19 08:28:58.046,Uit controle,,01/Apr/19 08:28:57.958,Motorstroom Actief,,01/Apr/19 08:21:30.386,Wel Berijding
01/Apr/19 12:34:27.283,Sturing Rechts,,01/Apr/19 08:28:59.396,Rechts in controle,,01/Apr/19 08:28:59.348,Geen Motorstroom,,01/Apr/19 08:21:44.236,Geen Berijding
01/Apr/19 12:36:50.482,Sturing Onbekend,,01/Apr/19 08:32:42.295,Uit controle,,01/Apr/19 08:32:42.217,Motorstroom Actief,,01/Apr/19 08:23:27.486,Wel Berijding
01/Apr/19 12:36:53.282,Sturing Rechts,,01/Apr/19 08:32:43.595,Links in controle,,01/Apr/19 08:32:43.587,Geen Motorstroom,,01/Apr/19 08:23:48.687,Geen Berijding
01/Apr/19 12:48:44.290,Sturing Links,,01/Apr/19 08:34:56.445,Uit controle,,01/Apr/19 08:34:56.347,Motorstroom Actief,,01/Apr/19 08:30:46.395,Wel Berijding
01/Apr/19 12:56:04.739,Sturing Rechts,,01/Apr/19 08:34:57.745,Rechts in controle,,01/Apr/19 08:34:57.737,Geen Motorstroom,,01/Apr/19 08:31:10.295,Geen Berijding
01/Apr/19 13:00:12.050,Sturing Links,,01/Apr/19 09:08:01.661,Uit controle,,01/Apr/19 09:08:01.553,Motorstroom Actief,,01/Apr/19 08:34:18.495,Wel Berijding
01/Apr/19 13:03:00.199,Sturing Rechts,,01/Apr/19 09:08:02.961,Links in controle,,01/Apr/19 09:08:02.953,Geen Motorstroom,,01/Apr/19 08:34:42.444,Geen Berijding
01/Apr/19 13:05:34.399,Sturing Links,,01/Apr/19 09:09:36.761,Uit controle,,01/Apr/19 09:09:36.653,Motorstroom Actief,,01/Apr/19 08:36:31.745,Wel Berijding
01/Apr/19 13:12:03.798,Sturing Rechts,,01/Apr/19 09:09:38.061,Rechts in controle,,01/Apr/19 09:09:38.053,Geen Motorstroom,,01/Apr/19 08:36:58.695,Geen Berijding
01/Apr/19 13:16:55.157,Sturing Links,,01/Apr/19 09:13:24.021,Uit controle,,01/Apr/19 09:13:23.923,Motorstroom Actief,,01/Apr/19 08:41:02.745,Wel Berijding
01/Apr/19 13:22:46.506,Sturing Rechts,,01/Apr/19 09:13:25.321,Links in controle,,01/Apr/19 09:13:25.313,Geen Motorstroom,,01/Apr/19 08:41:43.857,Geen Berijding
01/Apr/19 13:30:02.015,Sturing Links,,01/Apr/19 09:16:56.270,Uit controle,,01/Apr/19 09:16:56.153,Motorstroom Actief,,01/Apr/19 09:00:43.416,Wel Berijding
01/Apr/19 13:33:00.215,Sturing Rechts,,01/Apr/19 09:16:57.570,Rechts in controle,,01/Apr/19 09:16:57.553,Geen Motorstroom,,01/Apr/19 09:00:58.816,Geen Berijding
01/Apr/19 13:35:37.364,Sturing Links,,01/Apr/19 09:27:07.930,Uit controle,,01/Apr/19 09:27:07.853,Motorstroom Actief,,01/Apr/19 09:04:50.315,Wel Berijding
01/Apr/19 13:43:14.876,Sturing Rechts,,01/Apr/19 09:27:09.230,Links in controle,,01/Apr/19 09:27:09.223,Geen Motorstroom,,01/Apr/19 09:05:39.516,Geen Berijding
